porphyrin,level,AIP,VP,HCP,PCT,EPP,NORMAL
UI,low,0.6,0,0,0.1,0.1,0
UI,high,9.2,1.2,1.6,13,5.2,5
UIII,low,0,0,0,0,0,0
UIII,high,5.5,0.8,0.6,9,0.4,1
Hepta,low,0,0,0,1.6,0,0
Hepta,high,0.6,0,0.7,151,0,1
Hexa,low,0,0,0,0,0,0
Hexa,high,0.4,0,0.3,69,0,1
Penta,low,0,0,0,0.5,0,0
Penta,high,0.7,3.2,1.8,57,0,1
CI,low,0.3,6.8,12,4,0,0
CI,high,7.4,28,48,70,18,13
CIII,low,0.4,3.5,37,1,0,0
CIII,high,5,114,983,96,5.2,12
Deutero,low,0,0,0,0,0,0
Deutero,high,0,0,0,0,0,14
Meso,low,0,0,0,0,0,0
Meso,high,0,0,0,0,0,6
Proto,low,0,109,11,0,24,0
Proto,high,16,257,85,61,695,38
